Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2017-09-05,AMGN,Amgen Inc,6.715,10.69,18.43,27.55,36.735,49.075,57.695,61.81,64.96,67.475,140.92547607421875,142.32882594439548,139.82511487103537,141.9301457596773,1959900.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-06,AMGN,Amgen Inc,6.705,11.075,19.075,27.735,36.86,49.615,58.525,62.745,65.97,68.525,142.23309326171875,142.79124287768977,140.62242251270314,141.60317199267715,2242300.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-07,AMGN,Amgen Inc,6.725,10.975,18.935,27.555,36.89,49.51,58.32,62.49,65.675,68.21,144.09097290039062,145.73353303188458,141.3560209774965,142.3288014340272,2985300.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-08,AMGN,Amgen Inc,6.83,11.03,19.12,27.495,36.975,49.725,58.625,62.805,65.995,68.53,144.03512573242188,145.6457965160081,143.1420863277005,144.26635480444816,1993900.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-11,AMGN,Amgen Inc,6.24,10.875,18.195,26.755,36.8,49.03,57.56,61.59,64.685,67.165,148.69973754882812,148.87515780093474,145.55015440121142,145.55015440121142,3791200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-12,AMGN,Amgen Inc,6.515,10.21,17.445,26.015,34.82,47.11,55.69,59.81,62.985,65.53,152.29579162597656,152.32768067922953,148.93093075388455,149.10635096365243,3894300.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-13,AMGN,Amgen Inc,6.475,10.14,17.635,25.875,34.655,46.91,55.465,59.565,62.725,65.265,151.25921630859375,152.2479472634262,149.67247741478425,151.41868590343765,3031400.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-14,AMGN,Amgen Inc,6.65,10.14,17.235,25.775,34.96,46.83,55.11,59.095,62.185,64.665,151.05194091796875,152.37556196875562,149.75223970343384,150.198759535807,2318400.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-15,AMGN,Amgen Inc,6.09,10.06,17.105,25.875,34.575,46.89,55.485,59.635,62.835,65.385,149.48110961914062,151.22733030980268,148.55616891692,151.22733030980268,5349000.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-18,AMGN,Amgen Inc,5.765,10.065,16.755,24.855,33.885,46.03,54.5,58.59,61.745,64.26,148.68373107910156,150.35021068131618,148.40465019193212,149.73624002959278,2443800.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-19,AMGN,Amgen Inc,5.935,10.08,17.185,25.235,35.155,47.05,55.34,59.235,62.23,64.615,148.56414794921875,149.45718741761414,148.15748648884207,148.9548466332666,2066100.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-20,AMGN,Amgen Inc,7.27,11.84,19.95,29.075,38.505,51.33,60.505,64.88,68.18,70.76,150.03929138183594,150.34229219967958,147.8465504809746,148.37281121720207,2685400.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-21,AMGN,Amgen Inc,7.12,11.545,19.095,28.13,37.82,49.915,58.585,62.77,65.96,68.475,148.8193359375,150.66921779824503,148.70770597464494,150.15890765851424,2082200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-22,AMGN,Amgen Inc,6.82,11.395,20.14,28.56,38.83,51.05,59.795,63.985,67.17,69.67,148.11769104003906,148.96290344112907,146.71434085536785,147.894431059904,2275600.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-25,AMGN,Amgen Inc,6.765,11.275,20.195,28.44,38.735,50.815,59.46,63.615,66.765,69.255,148.54025268554688,149.9276640599831,147.91831259242971,147.91831259242971,2545400.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-26,AMGN,Amgen Inc,6.935,11.74,19.85,28.96,38.76,51.085,59.91,64.105,67.295,69.8,147.99005126953125,149.54490115560745,147.83056950336913,148.71563977186645,2307900.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-27,AMGN,Amgen Inc,6.87,10.855,18.99,28.05,37.98,50.16,58.88,64.295,68.49,71.84,147.4159698486328,149.01069038038608,146.6345480280122,147.55151963382158,2436700.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-28,AMGN,Amgen Inc,6.955,10.945,19.125,28.08,37.8,49.98,58.695,64.115,68.315,71.665,147.87841796875,149.76018839919385,146.81792751500302,146.94549589157953,2576900.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-09-29,AMGN,Amgen Inc,6.63,10.615,18.275,26.87,37.06,48.88,57.345,62.655,66.785,70.095,148.66783142089844,148.73959093073495,146.05249050610817,148.06981117208812,3017300.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-02,AMGN,Amgen Inc,6.82,10.81,18.645,27.04,36.81,49.075,57.84,63.3,67.54,70.92,149.24192810058594,149.68844792851644,147.9581775119093,149.1302981436033,2682700.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-03,AMGN,Amgen Inc,6.66,10.65,18.1,26.375,35.975,48.005,56.61,62.02,66.235,69.605,149.28977966308594,150.07917081467676,148.01401036263803,149.94362101088407,1514200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-04,AMGN,Amgen Inc,6.115,10.38,17.48,25.74,35.73,47.505,55.92,60.91,64.81,67.935,150.37416076660156,150.47782148842194,148.32495133068107,148.74755127336996,1660300.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-05,AMGN,Amgen Inc,6.37,9.95,17.115,25.835,35.335,47.0,55.34,60.29,64.17,67.28,148.9867401123047,151.49841957005577,146.96143863730416,150.74092990555542,4506600.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-06,AMGN,Amgen Inc,6.285,9.525,16.685,25.625,35.28,46.595,54.69,59.53,63.325,66.385,148.16551208496094,150.09512275019375,147.63925131260095,148.67582224298323,2032500.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-09,AMGN,Amgen Inc,6.24,9.505,16.645,25.585,35.22,46.465,54.52,59.32,63.09,66.145,147.87841796875,148.97876669638012,147.0332059942729,148.2691166534066,1519600.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-10,AMGN,Amgen Inc,6.16,10.535,17.64,26.04,35.655,47.845,56.56,61.67,65.635,68.8,148.14158630371094,148.77150784559922,147.0811076574007,147.87846807323086,2036400.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-11,AMGN,Amgen Inc,6.035,10.62,17.77,25.885,35.435,47.505,56.135,61.215,65.17,68.335,146.83387756347656,147.91031871190793,145.66175708336286,147.73489849265613,3273200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-12,AMGN,Amgen Inc,6.47,10.45,17.87,26.65,36.29,48.31,56.895,61.945,65.865,69.005,145.72555541992188,147.02525652533066,145.15145506457273,146.22789627254036,2223800.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-13,AMGN,Amgen Inc,6.525,10.5,17.845,26.075,35.83,47.55,55.93,60.885,64.755,67.865,145.9249267578125,146.19603854859744,145.1275663341316,145.62990729441202,2331500.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-16,AMGN,Amgen Inc,6.585,10.56,17.975,26.075,36.13,47.87,56.255,61.205,65.065,68.16,145.03982543945312,146.87375645831287,144.481675694605,145.8850375293682,2211500.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-17,AMGN,Amgen Inc,6.22,10.6,17.705,26.005,35.7,47.795,56.435,61.525,65.475,68.64,148.4604949951172,149.15419446365678,144.42585440017268,145.14347370095498,3753700.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-18,AMGN,Amgen Inc,6.34,10.125,17.69,26.4,35.82,47.67,56.135,61.13,65.02,68.14,148.53225708007812,150.57349724536246,148.17344742343457,149.78411843409688,2580200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-19,AMGN,Amgen Inc,6.12,10.125,18.2,26.52,36.035,48.085,56.685,61.685,65.565,68.665,146.80999755859375,149.09044886077876,146.11629788220068,148.30106982674653,2563600.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
2017-10-20,AMGN,Amgen Inc,6.155,9.74,17.46,26.33,35.815,47.485,55.825,60.73,64.55,67.615,145.88507080078125,147.36816169919268,144.55346816521563,146.78607982054268,3179200.0,5810.0,4786.0,2698.0,3216.0,2151.0,2629.0,39227.0,79587.0,35062.0,31722.0,2326.0,518.0,185.0,-729.0,1295.0,2.5,2.91,738.0,82.38,55.35,46.44,43.75,15.38,37.02,7.6,26.43,10.54,14.24,5810.0,2698.0,3216.0,2151.0,2.91,730.7,44.05,52.5,110.53,8.4,244.65,1.0,0.0,126657.79,35062.0,39227.0,122492.79,0.3,42.1,12.52,2.51,31.37,0.84,26.43,0.61,16.23,6.2,5.82,0.51,6.94,52.7,4.69,77.98,1.46,250.52,225.25
